i,Sparse Match,Dense Match,Mismatch,Num Vertices Match
50,96210,688,3102,96898
55,96654,688,2658,97342
60,97069,678,2253,97747
65,97495,666,1839,98161
70,97837,644,1519,98481
75,98099,601,1300,98700
80,98345,547,1108,98892
85,98523,491,986,99014
90,98768,423,809,99191
95,98935,345,720,99280
100,99063,258,679,99321
105,99148,180,672,99328
110,99189,117,694,99306
115,99212,56,732,99268
120,99224,25,751,99249
125,99233,4,763,99237
130,99244,0,756,99244
135,99251,0,749,99251
140,99258,0,742,99258
145,99268,0,732,99268
150,99277,0,723,99277
155,99280,0,720,99280
160,99282,0,718,99282
165,99284,0,716,99284
170,99285,0,715,99285
175,99292,0,708,99292
180,99294,0,706,99294
185,99295,0,705,99295
190,99298,0,702,99298
195,99302,0,698,99302
200,99304,0,696,99304
205,99309,0,691,99309
210,99310,0,690,99310
215,99311,0,689,99311
220,99312,0,688,99312
225,99312,0,688,99312
230,99312,0,688,99312
235,99312,0,688,99312
240,99312,0,688,99312
245,99312,0,688,99312
250,99312,0,688,99312
255,99312,0,688,99312
260,99312,0,688,99312
265,99312,0,688,99312
270,99312,0,688,99312
275,99312,0,688,99312
280,99312,0,688,99312
285,99312,0,688,99312
290,99312,0,688,99312
295,99312,0,688,99312
300,99312,0,688,99312
305,99312,0,688,99312
310,99312,0,688,99312
315,99312,0,688,99312
320,99312,0,688,99312
325,99312,0,688,99312
330,99312,0,688,99312
335,99312,0,688,99312
340,99312,0,688,99312
345,99312,0,688,99312
350,99312,0,688,99312
355,99312,0,688,99312
360,99312,0,688,99312
365,99312,0,688,99312
370,99312,0,688,99312
375,99312,0,688,99312
380,99312,0,688,99312
385,99312,0,688,99312
390,99312,0,688,99312
395,99312,0,688,99312
400,99312,0,688,99312
405,99312,0,688,99312
410,99312,0,688,99312
415,99312,0,688,99312
420,99312,0,688,99312
425,99312,0,688,99312
430,99312,0,688,99312
435,99312,0,688,99312
440,99312,0,688,99312
445,99312,0,688,99312
450,99312,0,688,99312
455,99312,0,688,99312
460,99312,0,688,99312
465,99312,0,688,99312
470,99312,0,688,99312
475,99312,0,688,99312
480,99312,0,688,99312
485,99312,0,688,99312
490,99312,0,688,99312
495,99312,0,688,99312
